id,predicted_answer,correct_answer,result,time_cost
28-0007,C,C,True,15.315473556518555
28-0008,A,D,False,1.130814552307129
28-0009,A,D,False,14.04331922531128
28-0010,,D,False,14.503573894500732
28-0011,A,D,False,2.4670424461364746
28-0012,C,D,False,14.024349927902222
28-0013,D,B,False,14.349419832229614
28-0014,A,D,False,14.340852737426758
28-0015,B,A,False,11.268532514572144
28-0016,B,B,True,6.663570880889893
28-0017,,D,False,14.303157091140747
28-0018,,B,False,14.00859785079956
28-0019,A,D,False,14.66733455657959
28-0020,C,D,False,11.868964910507202
24-0007,A,B,False,14.186653137207031
24-0008,B,C,False,9.28299069404602
24-0009,,D,False,14.284458875656128
24-0010,A,B,False,14.277468919754028
24-0011,,A,False,3.2891488075256348
24-0012,A,C,False,1.1703646183013916
24-0013,A,C,False,1.2809224128723145
24-0014,A,A,True,14.285182476043701
24-0015,A,D,False,3.3488059043884277
24-0016,A,D,False,14.404852390289307
24-0017,,B,False,14.349390506744385
24-0018,A,B,False,14.492676496505737
24-0019,,A,False,14.15768051147461
24-0020,,B,False,14.317477226257324
22-0006,A,D,False,2.1920790672302246
22-0007,B,D,False,14.402307033538818
22-0008,A,C,False,14.179954528808594
22-0009,A,D,False,8.984070539474487
22-0010,A,B,False,4.432983160018921
22-0011,A,C,False,3.3840243816375732
22-0012,A,A,True,2.1161930561065674
22-0013,A,B,False,15.148484945297241
22-0014,A,D,False,14.096065759658813
22-0015,A,D,False,14.705735206604004
22-0020,A,C,False,1.4903721809387207
22-0021,A,D,False,9.204389095306396
22-0022,A,D,False,3.1006276607513428
31-0006,,A,False,4.133850574493408
31-0007,A,A,True,14.144402265548706
31-0008,B,A,False,14.608344316482544
31-0009,A,A,True,14.262278318405151
31-0010,A,C,False,1.7445409297943115
31-0011,,D,False,14.06102991104126
31-0012,B,C,False,7.73874306678772
31-0013,A,B,False,15.047120332717896
31-0014,,C,False,10.483428478240967
31-0015,,A,False,14.125568866729736
31-0016,D,D,True,2.8692522048950195
31-0017,A,D,False,14.156212091445923
31-0018,B,B,True,1.3024005889892578
25-0007,A,D,False,1.3771758079528809
25-0008,A,A,True,14.236617803573608
25-0009,B,C,False,5.042133569717407
25-0010,B,C,False,14.079783201217651
25-0011,C,A,False,0.8451025485992432
25-0012,A,B,False,2.2157511711120605
25-0013,,A,False,14.16050910949707
25-0014,A,D,False,12.754801511764526
25-0016,B,A,False,14.121209144592285
25-0017,,B,False,14.13637399673462
25-0018,A,D,False,1.8597967624664307
25-0019,D,D,True,13.207162857055664
23-0006,A,B,False,1.0974464416503906
23-0007,D,B,False,14.23003363609314
23-0008,A,C,False,14.193151473999023
23-0009,,D,False,14.168864011764526
23-0010,C,B,False,14.267818450927734
23-0011,D,D,True,0.9174289703369141
23-0012,A,C,False,14.024385213851929
23-0014,A,B,False,14.051767587661743
23-0015,A,C,False,9.686368465423584
23-0016,A,C,False,14.27510929107666
23-0017,D,D,True,14.768643379211426
30-0007,,C,False,3.9555773735046387
30-0008,,C,False,14.972931861877441
30-0009,B,C,False,9.653185367584229
30-0010,A,C,False,14.150582075119019
30-0011,,D,False,1.1479663848876953
30-0012,,D,False,1.9999361038208008
30-0013,,D,False,10.074045896530151
30-0014,,D,False,0.9139456748962402
30-0015,,D,False,2.624354362487793
30-0016,,D,False,14.44449257850647
30-0017,A,A,True,14.322693824768066
30-0018,,A,False,0.997974157333374
30-0019,A,A,True,13.692652940750122
30-0020,,B,False,14.691159725189209
29-0007,B,A,False,14.626676082611084
29-0008,A,D,False,1.4934709072113037
29-0009,A,B,False,6.409606218338013
29-0010,C,D,False,14.458947896957397
29-0011,A,B,False,11.384759426116943
29-0012,B,D,False,0.9990828037261963
29-0013,,A,False,0.9206628799438477
29-0014,A,D,False,14.320711374282837
29-0015,A,B,False,14.645477294921875
29-0016,A,D,False,14.305620670318604
29-0017,,B,False,14.735550880432129
29-0018,,A,False,2.6181728839874268
29-0019,C,B,False,0.9154715538024902
29-0020,C,B,False,3.689511775970459
27-0006,A,C,False,14.79395604133606
27-0007,D,D,True,9.588427066802979
27-0008,A,C,False,14.280163288116455
27-0009,A,C,False,2.605543613433838
27-0010,B,D,False,1.1254713535308838
27-0011,A,D,False,14.66721487045288
27-0012,B,B,True,15.427483558654785
27-0013,,C,False,14.179395198822021
27-0014,D,A,False,3.3593456745147705
27-0015,A,B,False,14.18267560005188
27-0016,B,C,False,14.060709238052368
27-0017,B,A,False,14.163585186004639
27-0018,A,C,False,14.27006983757019
26-0006,C,C,True,15.875885486602783
26-0007,A,C,False,2.3337152004241943
26-0008,A,A,True,14.37453842163086
26-0010,B,C,False,0.8437564373016357
26-0011,,C,False,9.98723292350769
26-0012,A,C,False,4.528855323791504
26-0013,C,C,True,15.452285528182983
26-0014,A,A,True,1.9666540622711182
26-0016,,A,False,15.084654092788696
26-0017,A,A,True,1.6931564807891846
26-0018,B,C,False,14.027923345565796
26-0019,A,A,True,14.629170417785645
26-0020,A,C,False,15.171715259552002
50-0008,A,B,False,3.07983660697937
50-0009,B,B,True,0.964015007019043
50-0010,B,B,True,14.699650049209595
50-0011,A,A,True,14.449928998947144
50-0012,B,D,False,7.551804304122925
50-0013,A,B,False,14.176219463348389
50-0015,,D,False,14.277515411376953
50-0016,B,A,False,14.119537591934204
50-0017,A,C,False,14.176607608795166
50-0018,A,D,False,0.9141182899475098
50-0019,,D,False,7.3468239307403564
50-0020,D,B,False,14.105812549591064
50-0021,A,A,True,7.336226224899292
56-0006,,C,False,1.005284309387207
56-0007,,A,False,1.102961778640747
56-0008,A,C,False,15.007073879241943
56-0009,C,C,True,1.110468864440918
56-0010,C,A,False,1.1026830673217773
56-0011,,A,False,14.831112146377563
56-0012,A,C,False,2.7846007347106934
56-0013,A,B,False,3.408353805541992
56-0014,A,B,False,5.436009407043457
56-0015,A,D,False,1.745333194732666
56-0016,,B,False,14.43796682357788
56-0017,A,B,False,12.637675285339355
56-0018,A,B,False,15.138282537460327
58-0006,,A,False,14.246079683303833
58-0007,,D,False,14.717005968093872
58-0009,B,A,False,4.367107152938843
58-0010,B,C,False,0.9640567302703857
58-0011,A,C,False,3.150548219680786
58-0012,A,C,False,14.443127155303955
58-0013,A,B,False,15.559686422348022
58-0014,A,B,False,15.574981689453125
58-0016,,D,False,15.579906463623047
58-0017,B,C,False,1.0738592147827148
58-0018,A,B,False,14.469740390777588
58-0019,A,C,False,14.134799003601074
58-0020,A,A,True,14.409485340118408
57-0006,D,C,False,14.259023666381836
