id,predicted_answer,correct_answer,result,time_cost
28-0007,A,C,False,3.9039981365203857
28-0008,A,D,False,2.1672561168670654
28-0009,B,D,False,1.322932243347168
28-0010,D,D,True,2.2264082431793213
28-0011,,D,False,4.463998556137085
28-0012,A,D,False,0.883732795715332
28-0013,A,B,False,0.8362772464752197
28-0014,A,D,False,2.224764108657837
28-0015,A,A,True,6.155388593673706
28-0016,A,B,False,0.8812844753265381
28-0017,A,D,False,3.487016201019287
28-0018,A,B,False,0.4433882236480713
28-0019,B,D,False,2.788348436355591
28-0020,A,D,False,11.068392753601074
24-0007,D,B,False,1.1008036136627197
24-0008,C,C,True,3.0004329681396484
24-0009,A,D,False,1.878697156906128
24-0010,B,B,True,2.4350545406341553
24-0011,D,A,False,2.607055902481079
24-0012,A,C,False,6.798443794250488
24-0013,B,C,False,1.715620517730713
24-0014,C,A,False,2.039534091949463
24-0015,A,D,False,2.5368878841400146
24-0016,D,D,True,2.155257225036621
24-0017,A,B,False,8.695254564285278
24-0018,A,B,False,2.4444570541381836
24-0019,A,A,True,1.321850061416626
24-0020,B,B,True,1.539431095123291
22-0006,A,D,False,4.167703628540039
22-0007,D,D,True,3.704904079437256
22-0008,A,C,False,1.3224060535430908
22-0009,A,D,False,13.315156698226929
22-0010,D,B,False,1.3206849098205566
22-0011,D,C,False,2.858630418777466
22-0012,A,A,True,1.3223037719726562
22-0013,A,B,False,9.715327978134155
22-0014,B,D,False,3.062648057937622
22-0015,C,D,False,5.857969760894775
22-0020,C,C,True,4.769332647323608
22-0021,A,D,False,5.026861906051636
22-0022,B,D,False,3.2093141078948975
31-0006,A,A,True,2.425875186920166
31-0007,B,A,False,1.1018390655517578
31-0008,A,A,True,3.058727264404297
31-0009,A,A,True,2.198397159576416
31-0010,D,C,False,1.9774255752563477
31-0011,A,D,False,0.44330263137817383
31-0012,B,C,False,5.341865539550781
31-0013,A,B,False,5.332411050796509
31-0014,B,C,False,2.3769102096557617
31-0015,A,A,True,1.7619192600250244
31-0016,D,D,True,2.198857545852661
31-0017,B,D,False,1.762472152709961
31-0018,C,B,False,1.5418801307678223
25-0007,D,D,True,1.102609634399414
25-0008,C,A,False,1.3211991786956787
25-0009,B,C,False,3.5161337852478027
25-0010,A,C,False,1.1040315628051758
25-0011,A,A,True,1.3193995952606201
25-0012,B,B,True,1.3221726417541504
25-0013,B,A,False,1.3197603225708008
25-0014,,D,False,6.169051647186279
25-0016,A,A,True,1.5437672138214111
25-0017,D,B,False,1.3219633102416992
25-0018,D,D,True,3.739070415496826
25-0019,C,D,False,3.737152338027954
23-0006,D,B,False,3.0784223079681396
23-0007,B,B,True,1.979257345199585
23-0008,D,C,False,1.5429604053497314
23-0009,B,D,False,2.4200687408447266
23-0010,A,B,False,9.978453159332275
23-0011,A,D,False,3.439349889755249
23-0012,C,C,True,1.1001746654510498
23-0014,D,B,False,1.3212518692016602
23-0015,D,C,False,1.3208143711090088
23-0016,D,C,False,2.198657989501953
23-0017,A,D,False,3.6220903396606445
30-0007,A,C,False,12.427042007446289
30-0008,B,C,False,5.615231037139893
30-0009,A,C,False,3.3570926189422607
30-0010,A,C,False,1.7609107494354248
30-0011,A,D,False,1.539827823638916
30-0012,B,D,False,5.560412883758545
30-0013,C,D,False,1.9804718494415283
30-0014,A,D,False,2.198572874069214
30-0015,D,D,True,1.7597708702087402
30-0016,B,D,False,5.562272310256958
30-0017,A,A,True,3.4277114868164062
30-0018,B,A,False,6.97771692276001
30-0019,D,A,False,2.634880304336548
30-0020,D,B,False,2.5100066661834717
29-0007,A,A,True,1.3913822174072266
29-0008,A,D,False,0.5578258037567139
29-0009,D,B,False,2.799100160598755
29-0010,A,D,False,8.109673023223877
29-0011,A,B,False,0.4413585662841797
29-0012,A,D,False,4.174767732620239
29-0013,D,A,False,1.9485697746276855
29-0014,A,D,False,1.3196969032287598
29-0015,C,B,False,1.1168293952941895
29-0016,A,D,False,7.2010557651519775
29-0017,D,B,False,2.526545286178589
29-0018,A,A,True,0.44278550148010254
29-0019,A,B,False,0.44344520568847656
29-0020,D,B,False,6.1219096183776855
27-0006,A,C,False,10.901162147521973
27-0007,D,D,True,2.2005486488342285
27-0008,A,C,False,4.399193048477173
27-0009,D,C,False,0.8832111358642578
27-0010,D,D,True,1.5397119522094727
27-0011,D,D,True,3.3401827812194824
27-0012,A,B,False,11.3008451461792
27-0013,B,C,False,1.103729009628296
27-0014,D,A,False,2.4183599948883057
27-0015,D,B,False,1.3228139877319336
27-0016,A,C,False,0.44202423095703125
27-0017,B,A,False,1.7598111629486084
27-0018,D,C,False,2.6421573162078857
26-0006,D,C,False,7.000905513763428
26-0007,B,C,False,7.373316287994385
26-0008,A,A,True,1.4379281997680664
26-0010,A,C,False,1.5428574085235596
